control_number	control_name	category	question_id	question	guidance	auditor_focus	evidence_type	answer_type	what_good_looks_like	red_flags	nc_pattern	severity	primary_persona	related_controls	cps234_ref	cps230_ref
RQ5	Leadership and Commitment	ISMS Requirements	5	How does management demonstrate commitment to continual improvement?	Improvement commitment evidence. Look for: management review outputs with improvement actions; security investment decisions; KPI reviews showing management response to metrics; improvement initiatives with executive sponsorship.	Are improvements driven by data or just compliance?	RECORD; REPORT	Interview	Management review outputs with specific improvement actions and investment decisions linked to security gaps and KPI reviews with documented management response and executive-sponsored improvement initiatives and evidence of data-driven decisions	Improvement actions not followed up; No investment in identified gaps; KPIs ignored; Improvements only after incidents; No executive sponsorship	Management commitment to improvement not evidenced through documented actions and resource allocation.	High	Advisor	RQ9; RQ10; 5.1	13; 14	
RQ5	Leadership and Commitment	ISMS Requirements	6	How are security objectives communicated organisation-wide?	Communication effectiveness review for importance of effective information security management. Look for: what to communicate; when to communicate; with whom to communicate; how to communicate. Including all-hands communications; intranet announcements; training materials; town hall presentations; security newsletters. Verify staff awareness through sampling to confirm importance of ISMS is understood.	Can random staff articulate security objectives?	RECORD; REPORT	Interview	Multiple communication channels used and regular security updates and objectives included in training and town hall mentions documented and staff able to articulate objectives when sampled and communication effectiveness measured	Single communication channel; No regular updates; Staff unaware of objectives; Communication one-way only; No measurement of effectiveness	Security objectives not effectively communicated with evidence of limited staff awareness.	Medium	Advisor	RQ7; 6.3; 5.1	13; 14	
RQ6	Planning including Control Test Planning	ISMS Requirements	1	Provide your documented risk assessment methodology.	Risk methodology documentation. Look for: defined impact scales 1-5 with criteria; likelihood scales; risk calculation method; board-approved acceptance criteria; risk owner assignment process; reassessment triggers. Verify consistent application.	Is methodology documented AND consistently applied?	PROCEDURE; MATRIX; RECORD	Document	Documented methodology with clear 5-point impact and likelihood scales with criteria and board-approved acceptance criteria dated within 12 months and consistent application evidence across all departments and defined reassessment triggers and named methodology owner	No documented methodology; Inconsistent scoring across departments; No board-approved acceptance criteria; Methodology varies by business unit; No reassessment triggers	Risk assessment methodology not documented or inconsistently applied across the organisation.	Critical	Auditor	RQ4; RQ8; 5.1	15; 18	
RQ6	Planning including Control Test Planning	ISMS Requirements	2	Show me your current risk register.	Risk register completeness review. Look for: asset-threat-vulnerability mapping; consistent scoring; named risk owners; treatment status; residual risk levels. Check for regular updates and active management.	Are risks scored consistently? Are owners actively managing?	REGISTER; RECORD	Document	Complete asset-threat-vulnerability mapping and consistent scoring methodology applied and named owners with evidence of active management and treatment status current and residual risk documented and accepted and regular update evidence	Inconsistent scoring; No owners assigned; Stale entries over 12 months; Missing critical assets; No residual risk documentation; No update evidence	Risk register incomplete or inconsistently scored or lacking evidence of active ownership and management.	Critical	Analyst	RQ4; 5.9; 5.7	15; 18	
RQ6	Planning including Control Test Planning	ISMS Requirements	3	Present your risk treatment plan with control selection rationale.	Risk treatment traceability review. Look for: controls linked to specific risks; implementation timelines; responsible parties; progress tracking. Verify Golden Thread from risk to control selection.	Can you trace from identified risk to selected control?	REGISTER; MATRIX; RECORD	Document	Every control selection traced to specific risk and realistic timelines with progress tracking and named responsible parties and variances documented and escalated and clear linkage to SoA and Golden Thread demonstrable	Controls not linked to risks; Best practice justification only; No progress tracking; Timelines unrealistic; Disconnected from SoA	Risk treatment plan does not demonstrate traceability from identified risks to selected controls.	Critical	Advisor	RQ4; RQ8; 5.1	15; 18	
RQ6	Planning including Control Test Planning	ISMS Requirements	4	Provide your Statement of Applicability addressing ALL 93 Annex A controls.	SoA completeness check. Look for: all 93 Annex A controls from ISO 27001:2022 listed; applicability status per control; risk-based justification for inclusions; scope-based justification for exclusions; implementation status; evidence references. SoA must be maintained as documented information. Verify no gaps.	Are ALL 93 controls addressed with specific justification?	REGISTER; MATRIX	Document	All 93 Annex A controls listed with applicability status and risk-based justification for each inclusion and specific justification for exclusions referencing scope or risk assessment and current implementation status with dates and valid evidence references per control and named control owners and version control showing updates	Missing controls; Generic N/A without justification; No evidence references; Outdated implementation status; Exclusions not risk-assessed; No owners	Statement of Applicability incomplete or missing justification for control exclusions.	Critical	Auditor	RQ4; 5.1; all Annex A	15; 18	
RQ6	Planning including Control Test Planning	ISMS Requirements	5	For each SoA exclusion show me the documented justification.	Exclusion justification verification. Look for: specific risk-based rationale; reference to scope boundaries; alternative controls where applicable; annual review evidence. Reject generic N/A statements.	Is each exclusion justified with specific auditable rationale?	REGISTER; RECORD	Document	Specific justification per exclusion referencing scope or risk assessment and alternative controls documented where applicable and annual review of exclusions completed and no generic N/A entries and traceability to scope document	Generic N/A - not applicable entries; No risk assessment for exclusions; Alternative controls not considered; Exclusions never reviewed; No scope reference	Control exclusions lack specific risk-based justification with traceable rationale.	Critical	Auditor	RQ4; 5.31; 5.1	15; 18	
RQ6	Planning including Control Test Planning	ISMS Requirements	6	Provide your control testing schedule for the certification period.	Testing schedule completeness review. Look for: all applicable controls scheduled; testing methods defined; sample sizes documented; responsible parties assigned; 3-year cycle coverage plan. Verify no gaps.	Will all applicable controls be tested within the 3-year certification cycle?	REGISTER; MATRIX; RECORD	Document	All applicable controls scheduled with testing dates and methods defined per control type and sample sizes justified and documented and responsible parties assigned and complete 3-year coverage with no gaps and progress tracking mechanism	Incomplete coverage; No testing schedule exists; Some controls never tested; Missing 3-year plan; No sample size rationale; No progress tracking	Control testing schedule incomplete or does not ensure full coverage within certification cycle.	High	Auditor	RQ9; 5.35; 5.36	15; 18	
RQ6	Planning including Control Test Planning	ISMS Requirements	7	Show me signed residual risk acceptance records.	Risk acceptance verification. Look for: management signature; clear risk description; residual risk level quantified; acceptance authority appropriate to risk level. Verify understanding of what is being accepted.	Does management understand and formally accept residual risk exposure? Is acceptance authority commensurate with risk level?	RECORD; REPORT	Document	Management-signed acceptance forms with clear risk description and residual risk level quantified using methodology and acceptance authority appropriate to risk magnitude and dated within 12 months and evidence of informed decision-making	No formal acceptance; Acceptance without apparent understanding; Inappropriate authority level; Undated or stale acceptance; Blanket acceptance without specifics	Residual risk not formally accepted by appropriate management authority with documented understanding.	Critical	Auditor	RQ5; 5.1; RQ4	15; 18	
RQ6	Planning including Control Test Planning	ISMS Requirements	8	Are information security objectives SMART and tracked?	Objectives assessment. Look for: Specific objectives; Measurable KPIs with targets; Achievable within resources; Relevant to business; Time-bound milestones. Verify current performance tracking.	Can you show current performance against defined objectives?	RECORD; REPORT	Document	SMART objectives documented with specific KPIs and targets defined with baselines and current performance tracked and reported and variance analysis performed and management review of progress and objectives aligned with business strategy	Vague objectives; No measurable KPIs; Targets without actuals; No tracking mechanism; Objectives ignored in reviews; Not aligned with business	Information security objectives not measurable or not actively tracked against defined targets.	High	Analyst	RQ5; RQ9; 5.1	15; 18	
RQ7	Support	ISMS Requirements	1	Provide evidence of adequate ISMS resourcing.	Resource adequacy review. Look for: budget allocation documents; headcount records; tool investments; training budget. Compare requested vs approved resources.	Is security adequately resourced?	RECORD; REPORT	Document	Documented security budget with approval and headcount aligned with ISMS requirements and tool and technology investments and training budget allocated and comparison of requested vs approved showing adequate support	No documented budget; Chronic under-resourcing; Resource requests consistently denied; No training budget; Tools not funded	ISMS resourcing inadequate or not demonstrably allocated through documented budget and headcount.	High	Auditor	RQ5; 5.1; 5.2	15; 17	
RQ7	Support	ISMS Requirements	2	Show me your competence framework for security roles.	Competence requirements verification. Look for: role-based competency requirements documented; skills matrices; certification requirements such as CISSP and ISO 27001 Lead Implementer; job descriptions with security responsibilities.	Are competency requirements clear and verified?	PROCEDURE; MATRIX; RECORD	Document	Competency requirements documented per role and skills matrix maintained and certification requirements specified where appropriate and job descriptions include security responsibilities and competency gaps identified and addressed	No documented requirements; Generic requirements for all roles; No skills tracking; Certification requirements not enforced; No gap analysis	Competence framework not documented or competency requirements not verified for security roles.	Medium	Auditor	5.2; 6.3; 6.2	15; 17	
RQ7	Support	ISMS Requirements	3	Provide security awareness training records with completion rates.	Training effectiveness review. Look for: training completion tracking with target 95% or above; content topics; delivery dates; assessment results; follow-up for non-completion. Include phishing simulation results.	What is completion rate? How are non-completers followed up?	RECORD; REPORT	Document	Training completion rate 95% or above and content covering key topics and regular delivery schedule and assessment results tracked and non-completion followed up with escalation and phishing simulation results showing improvement trend	Completion below 95% without follow-up; No assessment; Non-completers not pursued; No phishing simulation; Content not updated; No management escalation	Security awareness training completion below target with inadequate follow-up procedures.	Medium	Analyst	6.3; 5.1; 6.8	15; 17	
RQ7	Support	ISMS Requirements	4	Present your internal and external communication plan for the ISMS.	Communication planning review. Look for: what to communicate; when to communicate; with whom to communicate; how to communicate. Including incident notification procedures and regulatory notification requirements under CPS 234.	Are communication channels clear for incidents?	PROCEDURE; MATRIX	Document	Communication plan with defined messages and audiences and timing and channels and incident notification procedures including regulatory requirements and escalation matrix and templates available and regular review of effectiveness	No communication plan; Missing incident notification; Unclear channels; No escalation matrix; Regulatory notification not addressed	ISMS communication plan incomplete or missing critical incident notification procedures.	High	Advisor	5.24; 5.5; 5.1	15; 17	
RQ7	Support	ISMS Requirements	5	How is documented information controlled?	Document control verification. Look for: document control procedure; version history; access controls on sensitive documents; retention schedules; review schedule; approval workflows.	Is there a single source of truth? Are outdated versions controlled?	PROCEDURE; RECORD	Document	Document control procedure with version control and single source of truth established and access controls on sensitive documents and retention schedules defined and review schedule maintained and approval workflows enforced and obsolete documents controlled	Multiple versions in circulation; No version control; No access controls; Missing retention schedules; No review schedule; Approval bypassed	Document control inadequate with multiple versions or missing version control and review schedules.	Medium	Auditor	5.1; 5.33; 5.37	15; 17	
RQ7	Support	ISMS Requirements	6	How is competence verified for new hires and role changes?	Competence verification process. Look for: pre-employment verification; onboarding security training completion; probation assessments; role transition procedures with security consideration.	Evidence for recent new hires?	PROCEDURE; RECORD	Interview	Pre-employment verification completed and onboarding security training tracked to completion and probation assessments include security competence and role transitions trigger competence review and evidence available for recent hires	No pre-employment verification; Training not tracked; Probation ignores security; Role changes without review; No evidence for recent hires	Competence verification not performed or documented for new hires and role changes.	Medium	Advisor	6.1; 6.2; 6.3	15; 17	
RQ8	Operation	ISMS Requirements	1	Provide evidence that operational security processes are implemented.	Operational implementation review. Look for: documented procedures for change management and incident response and access management and backup/recovery. Evidence of execution including logs and tickets and approvals.	Procedures exist AND are followed?	PROCEDURE; RECORD; CONFIG	Document	Documented operational procedures and evidence of execution including tickets and logs and approvals and consistent application across operations and regular procedure review and exceptions documented and approved	Procedures exist but not followed; No evidence of execution; Inconsistent application; Procedures outdated; Exceptions undocumented	Operational security procedures documented but not consistently implemented or evidenced.	High	Auditor	5.37; 8.32; 5.24	15; 18	
RQ8	Operation	ISMS Requirements	2	Show me evidence of risk assessment at planned intervals.	Risk assessment scheduling verification. Look for: risk assessment schedule with minimum annual frequency; completed assessments with dates; documented results feeding into treatment plan updates.	When was last assessment? Is it current?	REGISTER; RECORD; REPORT	Document	Risk assessment schedule documented and assessments completed as scheduled with minimum annual frequency and results documented and dated and findings feeding into treatment plan updates and trigger-based assessments evident	No assessment schedule; Assessments overdue; Results not documented; No link to treatment plan; Trigger-based assessments missing	Risk assessment not conducted at planned intervals or results not integrated with treatment planning.	Critical	Auditor	RQ6; 5.7; 5.1	15; 18	
RQ8	Operation	ISMS Requirements	3	Provide evidence that risk treatment is implemented according to plan.	Treatment implementation tracking. Look for: treatment plan progress tracking; control implementation evidence; timeline adherence documentation; variance explanations where needed.	Are controls being implemented on schedule?	REGISTER; RECORD; REPORT	Document	Treatment plan with progress tracking and control implementation evidence per planned item and timelines met or variances explained and escalated and regular status reporting and management visibility of progress	No progress tracking; Implementation delayed without escalation; No evidence of control implementation; Timelines missed; No management visibility	Risk treatment implementation delayed or not tracked against approved plan.	High	Auditor	RQ6; 5.1; RQ9	15; 18	
RQ8	Operation	ISMS Requirements	4	How are outsourced processes controlled?	Outsourced process governance review. Look for: supplier agreements with security requirements; monitoring of third-party compliance; audit rights documentation; security questionnaires such as SIG and CAIQ.	For material suppliers is there ongoing monitoring?	CONTRACT; RECORD; REPORT	Document	Supplier agreements include security requirements and ongoing compliance monitoring documented and audit rights in contracts and security questionnaires completed and material suppliers identified and prioritised and regular reassessment schedule	No security in contracts; No ongoing monitoring; Audit rights missing; No supplier assessment; Material suppliers not identified	Outsourced processes not adequately controlled through supplier agreements and ongoing monitoring.	High	Advisor	5.19; 5.20; 5.21; 5.22	15; 18	
RQ8	Operation	ISMS Requirements	5	Show me how security changes are managed.	Change management security review. Look for: change management records; security impact assessments for changes; approval workflows; back-out procedures.	Are security implications assessed before changes?	PROCEDURE; RECORD	Document	Change management procedure with security assessment step and security impact assessments documented and approval workflow including security sign-off and back-out procedures defined and post-implementation review includes security	No security in change process; Security assessment skipped; No approval workflow; Back-out not defined; No post-implementation review	Security changes not managed through documented change management with security impact assessment.	High	Auditor	8.32; 5.37; 8.9	15; 18	
RQ8	Operation	ISMS Requirements	6	Provide evidence of risk reassessment triggered by significant changes.	Trigger-based reassessment verification. Look for: evidence of reassessment after new systems and applications and organisational changes and regulatory updates and security incidents. Trigger criteria must be documented.	What triggers reassessment? Show me a recent example.	REGISTER; RECORD	Document	Documented trigger criteria for reassessment and evidence of reassessments following triggers including new systems and org changes and incidents and reassessment results documented and treatment plan updated accordingly and examples available	No trigger criteria defined; Changes made without reassessment; Incidents not triggering review; No examples available; Treatment plan stale	Risk reassessment not triggered by significant changes despite documented trigger criteria.	Critical	Auditor	RQ6; 5.7; 5.24	15; 18	
RQ9	Performance Evaluation - Internal Audit	ISMS Requirements	1	Provide your internal audit schedule and completed audit reports.	Audit program review. Look for: audit schedule covering all ISMS requirements; completed reports for each audit; findings documented with severity. Schedule must be planned and not ad-hoc.	Are audits conducted as planned?	REGISTER; REPORT; RECORD	Document	Documented audit schedule covering all ISMS requirements and completed reports per schedule and findings documented with severity classification and audit conducted by planned dates and schedule maintained proactively	No audit schedule; Audits ad-hoc; Reports missing; Findings not classified; Schedule frequently missed; No forward planning	Internal audits not conducted according to planned schedule or reports incomplete.	Critical	Auditor	RQ6; 5.35; 5.36	32; 33; 34a	
RQ9	Performance Evaluation - Internal Audit	ISMS Requirements	2	Show me your audit coverage matrix demonstrating ALL ISMS requirements are audited within the certification cycle.	Coverage completeness verification. Look for: matrix showing each clause and control; audit date; next audit date; coverage across 3-year cycle. No gaps allowed.	Will 100% coverage be achieved in 3 years?	MATRIX; REGISTER	Document	Coverage matrix listing all clauses and controls and audit dates recorded and next audit dates scheduled and complete 3-year coverage planned with no gaps and evidence of coverage tracking and adjustments documented	Incomplete coverage; Some clauses never audited; No 3-year plan; Coverage gaps; No tracking mechanism; Matrix not maintained	Audit coverage matrix incomplete or does not demonstrate full ISMS coverage within certification cycle.	Critical	Auditor	RQ6; 5.35; all Annex A	32; 33; 34a	
RQ9	Performance Evaluation - Internal Audit	ISMS Requirements	3	Provide evidence that auditors are independent from areas they audit.	Auditor independence verification. Look for: auditor assignments showing no self-audit; auditor competency records including ISO 27001 Lead Auditor training; independence declarations.	Did the IT manager audit IT controls? Not allowed.	RECORD; MATRIX	Document	Auditor assignments documented showing no self-audit and independence declarations signed and auditor competency records including Lead Auditor training and rotation where appropriate and independence conflicts identified and managed	Self-audit evident; No independence declarations; Competency not verified; Same auditor for related areas; Conflicts not managed	Internal auditors not demonstrably independent from areas audited or competency not verified.	Critical	Auditor	5.35; 5.3; 5.2	32; 33; 34a	
RQ9	Performance Evaluation - Internal Audit	ISMS Requirements	4	Present minutes from your last three Management Review meetings.	Management review completeness check. Look for: minutes explicitly covering ALL mandatory inputs including: a) status of actions from previous reviews; b) changes in external and internal issues; c) feedback on information security performance including nonconformities and corrective actions and monitoring and measurement results and audit results; d) fulfilment of objectives; e) feedback from interested parties; f) results of risk assessment and treatment plan status; g) opportunities for continual improvement.	Are all mandatory inputs explicitly addressed?	RECORD; REPORT	Document	Minutes from three recent reviews and all mandatory inputs a through g explicitly addressed and documented and decisions recorded with owners and dates and follow-up actions tracked and attendance of appropriate management and agenda structured to ISO requirements	Missing mandatory inputs; Inputs addressed superficially; Decisions not recorded; No follow-up tracking; Poor attendance; Unstructured agenda	Management review meetings do not explicitly address all mandatory ISO 27001 inputs.	Critical	Auditor	RQ5; RQ10; 5.1	32; 33; 34a	
RQ9	Performance Evaluation - Internal Audit	ISMS Requirements	5	Show me your information security KPIs and performance metrics.	Metric effectiveness review. Look for: incident counts; MTTR; vulnerability remediation times; training completion; control effectiveness; access review completion. With targets and actuals.	Are metrics meaningful? What do they tell you?	RECORD; REPORT	Document	Meaningful KPIs defined with targets and actuals tracked and reported and incident metrics including count and MTTR and vulnerability remediation times and training completion and control effectiveness measures and access review completion rates	Metrics collected but not meaningful; Targets without actuals; No trend analysis; Metrics ignored; KPIs not aligned with objectives	Information security KPIs not meaningful or not tracked with actuals or not aligned with objectives.	High	Analyst	RQ5; RQ6; 5.1	32; 33; 34a	
RQ9	Performance Evaluation - Internal Audit	ISMS Requirements	6	Provide evidence that monitoring results are analysed and evaluated.	Analysis effectiveness review. Look for: trend analysis reports; management presentations showing insights; action items from metric reviews; improvement initiatives triggered by data.	What changed as a result of the analysis?	REPORT; RECORD	Document	Trend analysis documented and management presentations with insights and action items from reviews tracked to completion and improvement initiatives triggered by data analysis and evidence of decisions based on analysis	Analysis not documented; No management presentations; Action items not tracked; No improvements from data; Analysis without action	Monitoring results analysed but not evaluated or actioned to drive improvement.	High	Analyst	RQ10; 5.1; 5.7	32; 33; 34a	
RQ9	Performance Evaluation - Internal Audit	ISMS Requirements	7	For CPS 234: Show me evidence of internal audit reviewing design AND operating effectiveness of controls.	CPS 234 compliance verification. Look for: audit reports explicitly assessing both design adequacy and operational effectiveness. Not just control exists but control works as intended.	CPS 234 para 32 requires both design and operating effectiveness.	REPORT; RECORD	Document	Audit reports explicitly assessing design adequacy meaning control appropriately designed and operating effectiveness tested meaning control works as intended and both dimensions covered per control and methodology documented and findings differentiated by type	Design only assessment; No operating effectiveness testing; Methodology unclear; Findings not differentiated; Control existence without effectiveness	Internal audit does not assess both design and operating effectiveness of controls as required by CPS 234.	Critical	Auditor	5.35; 5.36; RQ6	32; 33; 34a	
RQ10	Improvement - Continual Improvement	ISMS Requirements	1	Provide your nonconformity register.	NCR tracking review. Look for: all identified nonconformities; classification as major or minor; root cause analysis; corrective actions; closure status; effectiveness verification.	Are all NCs tracked to closure?	REGISTER; RECORD	Document	Complete NCR register with all nonconformities and classification applied and root cause analysis documented and corrective actions assigned with owners and dates and closure status tracked and effectiveness verification recorded	Incomplete register; No classification; Root cause missing; Actions not assigned; Closure not tracked; No effectiveness verification	Nonconformity register incomplete or nonconformities not tracked through to verified closure.	High	Auditor	RQ9; 5.35; 5.27	26	
RQ10	Improvement - Continual Improvement	ISMS Requirements	2	Show me root cause analysis documentation for recent nonconformities.	RCA quality review. Look for: 5 Whys or Fishbone diagrams documented; clear distinction between correction as symptom fix and corrective action as root cause elimination.	Is the ROOT cause identified or just the symptom?	RECORD; REPORT	Document	Root cause analysis using structured method such as 5 Whys or Fishbone and clear identification of true root cause and distinction between correction and corrective action and analysis documented with evidence and multiple perspectives considered	Symptom treated as root cause; No structured analysis method; Correction confused with corrective action; Analysis superficial; Single perspective only	Root cause analysis does not identify true root cause and treats symptoms rather than underlying issues.	High	Advisor	RQ9; 5.27; 5.35	26	
RQ10	Improvement - Continual Improvement	ISMS Requirements	3	Provide evidence of corrective action effectiveness verification.	Effectiveness verification review. Look for: verification records showing action taken; verification method; evidence that recurrence prevented; verification date and by whom.	How do you know the action worked?	RECORD; REPORT	Document	Verification records per corrective action and verification method documented and evidence of recurrence prevention and verification performed after appropriate interval and verifier independent where practical and verification findings recorded	No verification performed; Verification immediate without time to prove effectiveness; Recurrence not checked; Self-verification; No findings recorded	Corrective action effectiveness not verified or verification method inadequate to demonstrate recurrence prevention.	High	Auditor	RQ9; 5.35; 5.27	26	
RQ10	Improvement - Continual Improvement	ISMS Requirements	4	What ISMS improvements have been made in the past 12 months?	Improvement evidence review. Look for: documented enhancements including new controls and process improvements and tool implementations and control strengthening. With business case and outcomes.	Is improvement genuine or just documentation updates?	RECORD; REPORT	Interview	Documented improvements over 12 months and new controls implemented and process improvements with measurable outcomes and tool implementations and control strengthening evidence and business case documented and outcomes measured	Documentation updates only; No substantive improvements; Improvements claimed without evidence; No outcomes measured; Reactive improvements only	ISMS improvements not evidenced or limited to documentation updates without substantive security enhancement.	High	Advisor	RQ9; 5.27; 5.7	26	
RQ10	Improvement - Continual Improvement	ISMS Requirements	5	How are improvement opportunities identified?	Opportunity identification review. Look for: documented sources including audit findings and incident lessons learned and risk assessment updates and management reviews and industry developments and threat intelligence.	Is improvement proactive or only reactive?	PROCEDURE; RECORD	Interview	Multiple sources documented for improvement identification including SMART improvement objectives and proactive monitoring of industry developments and threat intelligence integration and audit findings systematically reviewed and incident lessons learned captured and management review outputs actioned	Reactive improvements only; Single source; No proactive monitoring; Threat intelligence not used; Audit findings ignored; No systematic approach	Improvement opportunities identified reactively only without proactive identification mechanisms.	Medium	Advisor	RQ9; 5.7; 5.27	26	
